procurement_id,agency,contract_title,country,renewal_date,estimated_value,incumbent,prime_pathwy_priority,days_to_renewal,action_required
PROC-00019,City of Benicia — Finance Department,Food Services & Catering Contract — City of Benicia,US,2027-08-20,"$500,000–$1,000,000",Adecco Group,MEDIUM — 60-Day Pipeline,447,Monitor
PROC-00682,City of Phoenix — Procurement Division,Food Services & Catering Contract — City of Phoenix,US,2027-08-20,"$1,000,000–$2,500,000",SAIC (Science Applications International Corp.),HIGH — Prepare in 30 Days,447,Monitor
PROC-01115,Greater Vancouver Transit Authority (TransLink),Temporary Staffing & Workforce Solutions — Greater Vancouver Transit Authority (TransLink),CA,2027-08-20,"$2,500,000–$5,000,000",Jan-Pro Franchising International,MEDIUM — 60-Day Pipeline,447,Monitor
PROC-01999,City of Seattle — Purchasing & Contracting,Construction & Facility Renovation Services — City of Seattle,US,2027-08-20,"$500,000–$1,000,000",ServiceMaster Clean,CRITICAL — Bid Now,447,Monitor
PROC-02069,Department of Transportation (DOT),Public Works & Infrastructure Maintenance — Department of Transportation (DOT),US,2027-08-20,"$5,000,000–$10,000,000",Xerox Corporation,WATCH — 90+ Days,447,Monitor
PROC-01533,California Department of Transportation (Caltrans),Food Services & Catering Contract — California Department of Transportation (Caltrans),US,2027-08-21,"$25,000,000+",Pitney Bowes Inc.,HIGH — Prepare in 30 Days,448,Monitor
PROC-02044,Queensland Government — QTenders,Construction & Facility Renovation Services — Queensland Government,AU,2027-08-21,"$75,000–$150,000",Clean Harbors Inc.,WATCH — 90+ Days,448,Monitor
PROC-02391,Public Services and Procurement Canada (PSPC),IT Infrastructure & Managed Services Contract — Public Services and Procurement Canada (PSPC),CA,2027-08-21,"$10,000,000–$25,000,000",Xerox Corporation,HIGH — Prepare in 30 Days,448,Monitor
PROC-00360,General Services Administration (GSA),HVAC Maintenance & Mechanical Services — General Services Administration (GSA),US,2027-08-22,"$10,000,000–$25,000,000",AECOM Technology Corp.,WATCH — 90+ Days,449,Monitor
PROC-00882,AusTender — Australian Government Procurement,Healthcare Facility Support Services — AusTender,AU,2027-08-22,"$10,000,000–$25,000,000",AECOM Technology Corp.,HIGH — Prepare in 30 Days,449,Monitor
PROC-02606,Ministry of Defence (MOD) — Defence Equipment & Support,Professional Consulting Services — Ministry of Defence (MOD),UK,2027-08-22,"$5,000,000–$10,000,000",Kforce Inc.,WATCH — 90+ Days,449,Monitor
PROC-02991,City of Sydney — Procurement,Pest Control & Sanitation Services — City of Sydney,AU,2027-08-22,"$300,000–$500,000",Pitney Bowes Inc.,CRITICAL — Bid Now,449,Monitor
PROC-00279,US Postal Service (USPS) — Procurement,Debris Removal & Waste Hauling Services — US Postal Service (USPS),US,2027-08-23,"$10,000,000–$25,000,000",Regional Service Provider,MEDIUM — 60-Day Pipeline,450,Monitor
PROC-00298,Alameda County — GSA Purchasing,Custodial Services Contract — Alameda County,US,2027-08-23,"$10,000,000–$25,000,000",Allied Universal Security Services,HIGH — Prepare in 30 Days,450,Monitor
PROC-01046,Birmingham City Council — Procurement,Temporary Staffing & Workforce Solutions — Birmingham City Council,UK,2027-08-23,"$500,000–$1,000,000",SAIC (Science Applications International Corp.),WATCH — 90+ Days,450,Monitor
PROC-01085,Miami-Dade County — Internal Services Department,Temporary Staffing & Workforce Solutions — Miami-Dade County,US,2027-08-23,"$150,000–$300,000",AECOM Technology Corp.,HIGH — Prepare in 30 Days,450,Monitor
PROC-00105,Province of Ontario — Ontario Shared Services,Food Services & Catering Contract — Province of Ontario,CA,2027-08-24,"$2,500,000–$5,000,000",Cintas Corporation,WATCH — 90+ Days,451,Monitor
PROC-00150,NSW Government — eTendering,Healthcare Facility Support Services — NSW Government,AU,2027-08-24,"$25,000–$75,000",Manpower Group,WATCH — 90+ Days,451,Monitor
PROC-00313,Port of Los Angeles,Debris Removal & Waste Hauling Services — Port of Los Angeles,US,2027-08-24,"$10,000,000–$25,000,000",Leidos Holdings Inc.,MEDIUM — 60-Day Pipeline,451,Monitor
PROC-00383,Transport for London (TfL) — Procurement,Uniformed Security Guard Services — Transport for London (TfL),UK,2027-08-24,"$2,500,000–$5,000,000",Local Independent Vendor,MEDIUM — 60-Day Pipeline,451,Monitor
PROC-00746,Transport for NSW,Transportation & Logistics Services — Transport for NSW,AU,2027-08-24,"$10,000,000–$25,000,000",Local Independent Vendor,WATCH — 90+ Days,451,Monitor
PROC-01028,Province of Ontario — Ontario Shared Services,Records Management & Document Digitization Services — Province of Ontario,CA,2027-08-24,"$2,500,000–$5,000,000",Booz Allen Hamilton,CRITICAL — Bid Now,451,Monitor
PROC-01147,San Francisco Municipal Transportation Agency (SFMTA),Debris Removal & Waste Hauling Services — San Francisco Municipal Transportation Agency (SFMTA),US,2027-08-24,"$150,000–$300,000",Kforce Inc.,MEDIUM — 60-Day Pipeline,451,Monitor
PROC-01383,Province of British Columbia — BC Bid,Public Works & Infrastructure Maintenance — Province of British Columbia,CA,2027-08-24,"$75,000–$150,000",Clean Harbors Inc.,HIGH — Prepare in 30 Days,451,Monitor
PROC-01458,City of Chicago — Department of Procurement Services,Grounds Maintenance & Landscaping Services — City of Chicago,US,2027-08-24,"$10,000,000–$25,000,000",Allied Universal Security Services,WATCH — 90+ Days,451,Monitor
PROC-01662,NASA — Procurement Division,Fleet Maintenance & Vehicle Repair Services — NASA,US,2027-08-24,"$150,000–$300,000",Regional Service Provider,MEDIUM — 60-Day Pipeline,451,Monitor
PROC-02259,Contra Costa County — Purchasing,Construction & Facility Renovation Services — Contra Costa County,US,2027-08-24,"$2,500,000–$5,000,000",Cintas Corporation,WATCH — 90+ Days,451,Monitor
PROC-02461,Port of Oakland,HVAC Maintenance & Mechanical Services — Port of Oakland,US,2027-08-24,"$10,000,000–$25,000,000",Adecco Group,CRITICAL — Bid Now,451,Monitor
PROC-02668,Province of Ontario — Ontario Shared Services,AI & Process Automation Implementation Services — Province of Ontario,CA,2027-08-24,"$1,000,000–$2,500,000",Waste Management Inc.,MEDIUM — 60-Day Pipeline,451,Monitor
PROC-02772,Greater Vancouver Transit Authority (TransLink),Uniformed Security Guard Services — Greater Vancouver Transit Authority (TransLink),CA,2027-08-24,"$300,000–$500,000",Sodexo USA,MEDIUM — 60-Day Pipeline,451,Monitor
PROC-02976,City of Calgary — Purchasing,Environmental Compliance & Remediation Services — City of Calgary,CA,2027-08-24,"$300,000–$500,000",Leidos Holdings Inc.,CRITICAL — Bid Now,451,Monitor
PROC-02497,NASA — Procurement Division,Electrical Maintenance & Repair Services — NASA,US,2027-08-25,"$300,000–$500,000",ServiceMaster Clean,CRITICAL — Bid Now,452,Monitor
PROC-01232,Department of Transportation (DOT),IT Infrastructure & Managed Services Contract — Department of Transportation (DOT),US,2027-08-26,"$2,500,000–$5,000,000",Regional Service Provider,CRITICAL — Bid Now,453,Monitor
PROC-01633,Social Security Administration (SSA),HVAC Maintenance & Mechanical Services — Social Security Administration (SSA),US,2027-08-26,"$1,000,000–$2,500,000",Securitas Security Services USA,MEDIUM — 60-Day Pipeline,453,Monitor
PROC-01797,California Department of Education (CDE),Public Works & Infrastructure Maintenance — California Department of Education (CDE),US,2027-08-26,"$150,000–$300,000",SAIC (Science Applications International Corp.),CRITICAL — Bid Now,453,Monitor
PROC-01881,City of Vancouver — Procurement Services,Records Management & Document Digitization Services — City of Vancouver,CA,2027-08-26,"$5,000,000–$10,000,000",Regional Service Provider,MEDIUM — 60-Day Pipeline,453,Monitor
PROC-01939,Province of Ontario — Ontario Shared Services,Professional Consulting Services — Province of Ontario,CA,2027-08-26,"$1,000,000–$2,500,000",Pitney Bowes Inc.,HIGH — Prepare in 30 Days,453,Monitor
PROC-01951,General Services Administration (GSA),Pest Control & Sanitation Services — General Services Administration (GSA),US,2027-08-26,"$500,000–$1,000,000",Iron Mountain Inc.,CRITICAL — Bid Now,453,Monitor
PROC-02818,Los Angeles Unified School District (LAUSD),Custodial Services Contract — Los Angeles Unified School District (LAUSD),US,2027-08-26,"$150,000–$300,000",Stericycle Inc.,MEDIUM — 60-Day Pipeline,453,Monitor
PROC-00054,City of Melbourne — Procurement,Records Management & Document Digitization Services — City of Melbourne,AU,2027-08-27,"$25,000,000+",ManTech International,MEDIUM — 60-Day Pipeline,454,Monitor
PROC-00211,Public Services and Procurement Canada (PSPC),Pest Control & Sanitation Services — Public Services and Procurement Canada (PSPC),CA,2027-08-27,"$1,000,000–$2,500,000",Leidos Holdings Inc.,WATCH — 90+ Days,454,Monitor
PROC-00805,Department of Veterans Affairs (VA),Environmental Compliance & Remediation Services — Department of Veterans Affairs (VA),US,2027-08-27,"$5,000,000–$10,000,000",Xerox Corporation,CRITICAL — Bid Now,454,Monitor
PROC-01163,Port of Los Angeles,Public Works & Infrastructure Maintenance — Port of Los Angeles,US,2027-08-27,"$150,000–$300,000",Fluor Corporation,HIGH — Prepare in 30 Days,454,Monitor
PROC-01282,US Army Corps of Engineers,HVAC Maintenance & Mechanical Services — US Army Corps of Engineers,US,2027-08-27,"$25,000–$75,000",Jacobs Engineering Group,WATCH — 90+ Days,454,Monitor
PROC-01672,Queensland Government — QTenders,Temporary Staffing & Workforce Solutions — Queensland Government,AU,2027-08-27,"$500,000–$1,000,000",Jani-King International,CRITICAL — Bid Now,454,Monitor
PROC-02847,Crown Commercial Service (CCS),Transportation & Logistics Services — Crown Commercial Service (CCS),UK,2027-08-27,"$150,000–$300,000",Coverall Holding Company,WATCH — 90+ Days,454,Monitor
PROC-01793,Department of Energy (DOE),IT Infrastructure & Managed Services Contract — Department of Energy (DOE),US,2027-08-28,"$25,000,000+",Cintas Corporation,MEDIUM — 60-Day Pipeline,455,Monitor
PROC-02648,London Borough of Southwark — Procurement,Food Services & Catering Contract — London Borough of Southwark,UK,2027-08-28,"$150,000–$300,000",Leidos Holdings Inc.,CRITICAL — Bid Now,455,Monitor
PROC-02929,Department of Defense (DoD) — DIBBS,Pest Control & Sanitation Services — Department of Defense (DoD),US,2027-08-28,"$10,000,000–$25,000,000",G4S Secure Solutions,MEDIUM — 60-Day Pipeline,455,Monitor
PROC-00010,Department of Transportation (DOT),Debris Removal & Waste Hauling Services — Department of Transportation (DOT),US,2027-08-29,"$25,000–$75,000",AECOM Technology Corp.,WATCH — 90+ Days,456,Monitor
PROC-00711,Transport for London (TfL) — Procurement,Environmental Compliance & Remediation Services — Transport for London (TfL),UK,2027-08-29,"$10,000,000–$25,000,000",G4S Secure Solutions,HIGH — Prepare in 30 Days,456,Monitor
PROC-00901,NSW Government — eTendering,Professional Consulting Services — NSW Government,AU,2027-08-29,"$10,000,000–$25,000,000",ABM Industries Inc.,HIGH — Prepare in 30 Days,456,Monitor
PROC-01183,US Army Corps of Engineers,Pest Control & Sanitation Services — US Army Corps of Engineers,US,2027-08-29,"$25,000–$75,000",Xerox Corporation,CRITICAL — Bid Now,456,Monitor
PROC-01389,City of Vancouver — Procurement Services,Public Works & Infrastructure Maintenance — City of Vancouver,CA,2027-08-29,"$25,000,000+",Kforce Inc.,WATCH — 90+ Days,456,Monitor
PROC-00115,City of Chicago — Department of Procurement Services,Public Works & Infrastructure Maintenance — City of Chicago,US,2027-08-30,"$2,500,000–$5,000,000",Iron Mountain Inc.,WATCH — 90+ Days,457,Monitor
PROC-01644,Bay Area Rapid Transit (BART),Environmental Compliance & Remediation Services — Bay Area Rapid Transit (BART),US,2027-08-30,"$300,000–$500,000",Jani-King International,HIGH — Prepare in 30 Days,457,Monitor
PROC-02000,US Postal Service (USPS) — Procurement,Grounds Maintenance & Landscaping Services — US Postal Service (USPS),US,2027-08-30,"$5,000,000–$10,000,000",Iron Mountain Inc.,WATCH — 90+ Days,457,Monitor
PROC-02078,Bay Area Rapid Transit (BART),Debris Removal & Waste Hauling Services — Bay Area Rapid Transit (BART),US,2027-08-30,"$1,000,000–$2,500,000",Regional Service Provider,HIGH — Prepare in 30 Days,457,Monitor
PROC-01117,Contra Costa County — Purchasing,Records Management & Document Digitization Services — Contra Costa County,US,2027-08-31,"$500,000–$1,000,000",Jacobs Engineering Group,HIGH — Prepare in 30 Days,458,Monitor
PROC-02230,Sacramento County — Purchasing Division,Electrical Maintenance & Repair Services — Sacramento County,US,2027-08-31,"$5,000,000–$10,000,000",Booz Allen Hamilton,HIGH — Prepare in 30 Days,458,Monitor
PROC-02616,Highways England (National Highways),Records Management & Document Digitization Services — Highways England (National Highways),UK,2027-08-31,"$5,000,000–$10,000,000",ManTech International,MEDIUM — 60-Day Pipeline,458,Monitor
PROC-00108,Toronto Transit Commission (TTC) — Procurement,Custodial Services Contract — Toronto Transit Commission (TTC),CA,2027-09-01,"$150,000–$300,000",Recall Holdings,CRITICAL — Bid Now,459,Monitor
PROC-00848,Contra Costa County — Purchasing,AI & Process Automation Implementation Services — Contra Costa County,US,2027-09-01,"$2,500,000–$5,000,000",Pitney Bowes Inc.,HIGH — Prepare in 30 Days,459,Monitor
PROC-01191,Department of Defense (DoD) — DIBBS,Records Management & Document Digitization Services — Department of Defense (DoD),US,2027-09-01,"$300,000–$500,000",Iron Mountain Inc.,MEDIUM — 60-Day Pipeline,459,Monitor
PROC-01400,San Francisco Municipal Transportation Agency (SFMTA),Records Management & Document Digitization Services — San Francisco Municipal Transportation Agency (SFMTA),US,2027-09-01,"$75,000–$150,000",Sodexo USA,CRITICAL — Bid Now,459,Monitor
PROC-01766,Transport for NSW,Debris Removal & Waste Hauling Services — Transport for NSW,AU,2027-09-01,"$2,500,000–$5,000,000",Unknown/No Incumbent,CRITICAL — Bid Now,459,Monitor
PROC-02520,City of Phoenix — Procurement Division,Environmental Compliance & Remediation Services — City of Phoenix,US,2027-09-01,"$5,000,000–$10,000,000",Republic Services Inc.,HIGH — Prepare in 30 Days,459,Monitor
PROC-00756,Province of British Columbia — BC Bid,Construction & Facility Renovation Services — Province of British Columbia,CA,2027-09-02,"$2,500,000–$5,000,000",Jacobs Engineering Group,CRITICAL — Bid Now,460,Monitor
PROC-00894,California Department of Education (CDE),Professional Consulting Services — California Department of Education (CDE),US,2027-09-02,"$1,000,000–$2,500,000",Sodexo USA,CRITICAL — Bid Now,460,Monitor
PROC-02570,Denver Public Schools — Procurement,Fleet Maintenance & Vehicle Repair Services — Denver Public Schools,US,2027-09-02,"$1,000,000–$2,500,000",Parsons Corporation,HIGH — Prepare in 30 Days,460,Monitor
PROC-02670,City of Atlanta — Department of Procurement,Pest Control & Sanitation Services — City of Atlanta,US,2027-09-02,"$2,500,000–$5,000,000",Booz Allen Hamilton,MEDIUM — 60-Day Pipeline,460,Monitor
PROC-02711,Birmingham City Council — Procurement,Facilities Maintenance & Repair Services — Birmingham City Council,UK,2027-09-02,"$2,500,000–$5,000,000",Jacobs Engineering Group,CRITICAL — Bid Now,460,Monitor
PROC-00128,City of Toronto — Purchasing and Materials Management,Uniformed Security Guard Services — City of Toronto,CA,2027-09-03,"$2,500,000–$5,000,000",Fluor Corporation,MEDIUM — 60-Day Pipeline,461,Monitor
PROC-00517,US Army Corps of Engineers,AI & Process Automation Implementation Services — US Army Corps of Engineers,US,2027-09-03,"$500,000–$1,000,000",Robert Half International,CRITICAL — Bid Now,461,Monitor
PROC-02081,Province of Ontario — Ontario Shared Services,Debris Removal & Waste Hauling Services — Province of Ontario,CA,2027-09-03,"$10,000,000–$25,000,000",Unknown/No Incumbent,CRITICAL — Bid Now,461,Monitor
PROC-02484,Transport for London (TfL) — Procurement,Electrical Maintenance & Repair Services — Transport for London (TfL),UK,2027-09-03,"$1,000,000–$2,500,000",Allied Universal Security Services,WATCH — 90+ Days,461,Monitor
PROC-02692,City of Seattle — Purchasing & Contracting,Healthcare Facility Support Services — City of Seattle,US,2027-09-03,"$300,000–$500,000",Securitas Security Services USA,MEDIUM — 60-Day Pipeline,461,Monitor
PROC-00696,City of Seattle — Purchasing & Contracting,Facilities Maintenance & Repair Services — City of Seattle,US,2027-09-04,"$1,000,000–$2,500,000",Unknown/No Incumbent,CRITICAL — Bid Now,462,Monitor
PROC-01794,Greater Vancouver Transit Authority (TransLink),Fleet Maintenance & Vehicle Repair Services — Greater Vancouver Transit Authority (TransLink),CA,2027-09-04,"$1,000,000–$2,500,000",Regional Service Provider,WATCH — 90+ Days,462,Monitor
PROC-00319,Transport for London (TfL) — Procurement,Environmental Compliance & Remediation Services — Transport for London (TfL),UK,2027-09-05,"$500,000–$1,000,000",ServiceMaster Clean,MEDIUM — 60-Day Pipeline,463,Monitor
PROC-02154,City of Phoenix — Procurement Division,Pest Control & Sanitation Services — City of Phoenix,US,2027-09-05,"$5,000,000–$10,000,000",SAIC (Science Applications International Corp.),MEDIUM — 60-Day Pipeline,463,Monitor
PROC-00100,City of Melbourne — Procurement,AI & Process Automation Implementation Services — City of Melbourne,AU,2027-09-06,"$25,000–$75,000",Jacobs Engineering Group,MEDIUM — 60-Day Pipeline,464,Monitor
PROC-00574,NSW Government — eTendering,IT Infrastructure & Managed Services Contract — NSW Government,AU,2027-09-06,"$300,000–$500,000",Xerox Corporation,MEDIUM — 60-Day Pipeline,464,Monitor
PROC-00979,California Department of Education (CDE),Professional Consulting Services — California Department of Education (CDE),US,2027-09-06,"$25,000–$75,000",ServiceMaster Clean,HIGH — Prepare in 30 Days,464,Monitor
PROC-01538,Victorian Government — Tenders VIC,Uniformed Security Guard Services — Victorian Government,AU,2027-09-06,"$25,000–$75,000",Unknown/No Incumbent,MEDIUM — 60-Day Pipeline,464,Monitor
PROC-01694,NHS Supply Chain,IT Infrastructure & Managed Services Contract — NHS Supply Chain,UK,2027-09-06,"$300,000–$500,000",Regional Service Provider,MEDIUM — 60-Day Pipeline,464,Monitor
PROC-02112,Department of Transportation (DOT),Fleet Maintenance & Vehicle Repair Services — Department of Transportation (DOT),US,2027-09-06,"$75,000–$150,000",Robert Half International,CRITICAL — Bid Now,464,Monitor
PROC-02760,Department of Energy (DOE),IT Infrastructure & Managed Services Contract — Department of Energy (DOE),US,2027-09-06,"$1,000,000–$2,500,000",Cintas Corporation,WATCH — 90+ Days,464,Monitor
PROC-02933,Queensland Government — QTenders,HVAC Maintenance & Mechanical Services — Queensland Government,AU,2027-09-06,"$150,000–$300,000",Iron Mountain Inc.,HIGH — Prepare in 30 Days,464,Monitor
PROC-00547,California Department of Transportation (Caltrans),Fleet Maintenance & Vehicle Repair Services — California Department of Transportation (Caltrans),US,2027-09-07,"$75,000–$150,000",G4S Secure Solutions,CRITICAL — Bid Now,465,Monitor
PROC-01153,City of Houston — Office of Business Opportunities,HVAC Maintenance & Mechanical Services — City of Houston,US,2027-09-07,"$300,000–$500,000",Xerox Corporation,CRITICAL — Bid Now,465,Monitor
PROC-01994,Department of Veterans Affairs (VA),Environmental Compliance & Remediation Services — Department of Veterans Affairs (VA),US,2027-09-07,"$2,500,000–$5,000,000",Adecco Group,HIGH — Prepare in 30 Days,465,Monitor
PROC-02137,AusTender — Australian Government Procurement,IT Infrastructure & Managed Services Contract — AusTender,AU,2027-09-07,"$2,500,000–$5,000,000",Jan-Pro Franchising International,HIGH — Prepare in 30 Days,465,Monitor
PROC-02625,California Department of Education (CDE),Environmental Compliance & Remediation Services — California Department of Education (CDE),US,2027-09-07,"$150,000–$300,000",G4S Secure Solutions,MEDIUM — 60-Day Pipeline,465,Monitor
PROC-02671,NSW Government — eTendering,Custodial Services Contract — NSW Government,AU,2027-09-07,"$25,000,000+",G4S Secure Solutions,MEDIUM — 60-Day Pipeline,465,Monitor
PROC-02898,Ministry of Defence (MOD) — Defence Equipment & Support,Transportation & Logistics Services — Ministry of Defence (MOD),UK,2027-09-07,"$150,000–$300,000",Booz Allen Hamilton,CRITICAL — Bid Now,465,Monitor
PROC-00434,Greater Vancouver Transit Authority (TransLink),Pest Control & Sanitation Services — Greater Vancouver Transit Authority (TransLink),CA,2027-09-08,"$150,000–$300,000",CACI International,CRITICAL — Bid Now,466,Monitor
PROC-01491,US Postal Service (USPS) — Procurement,Electrical Maintenance & Repair Services — US Postal Service (USPS),US,2027-09-08,"$25,000–$75,000",Leidos Holdings Inc.,CRITICAL — Bid Now,466,Monitor
PROC-01828,Department of Veterans Affairs (VA),Pest Control & Sanitation Services — Department of Veterans Affairs (VA),US,2027-09-08,"$300,000–$500,000",Fluor Corporation,HIGH — Prepare in 30 Days,466,Monitor
PROC-02325,US Army Corps of Engineers,Uniformed Security Guard Services — US Army Corps of Engineers,US,2027-09-08,"$2,500,000–$5,000,000",Jani-King International,HIGH — Prepare in 30 Days,466,Monitor
PROC-00256,City of Vacaville — Administrative Services,Records Management & Document Digitization Services — City of Vacaville,US,2027-09-09,"$1,000,000–$2,500,000",Jacobs Engineering Group,CRITICAL — Bid Now,467,Monitor
PROC-01629,City of Sydney — Procurement,IT Infrastructure & Managed Services Contract — City of Sydney,AU,2027-09-09,"$150,000–$300,000",Jacobs Engineering Group,MEDIUM — 60-Day Pipeline,467,Monitor
PROC-01688,City of Vacaville — Administrative Services,Food Services & Catering Contract — City of Vacaville,US,2027-09-09,"$150,000–$300,000",Jan-Pro Franchising International,MEDIUM — 60-Day Pipeline,467,Monitor
PROC-01708,Solano County — Purchasing Services,Transportation & Logistics Services — Solano County,US,2027-09-09,"$2,500,000–$5,000,000",Pitney Bowes Inc.,WATCH — 90+ Days,467,Monitor
PROC-00110,NHS Supply Chain,HVAC Maintenance & Mechanical Services — NHS Supply Chain,UK,2027-09-10,"$10,000,000–$25,000,000",Coverall Holding Company,CRITICAL — Bid Now,468,Monitor
PROC-00673,Queensland Government — QTenders,Custodial Services Contract — Queensland Government,AU,2027-09-10,"$150,000–$300,000",Republic Services Inc.,CRITICAL — Bid Now,468,Monitor
PROC-00098,Transport for NSW,Construction & Facility Renovation Services — Transport for NSW,AU,2027-09-11,"$2,500,000–$5,000,000",Unknown/No Incumbent,HIGH — Prepare in 30 Days,469,Monitor
PROC-00022,General Services Administration (GSA),Records Management & Document Digitization Services — General Services Administration (GSA),US,2027-09-12,"$10,000,000–$25,000,000",Kforce Inc.,CRITICAL — Bid Now,470,Monitor
PROC-00200,General Services Administration (GSA),Debris Removal & Waste Hauling Services — General Services Administration (GSA),US,2027-09-12,"$10,000,000–$25,000,000",Adecco Group,WATCH — 90+ Days,470,Monitor
PROC-01404,NHS Supply Chain,Construction & Facility Renovation Services — NHS Supply Chain,UK,2027-09-12,"$500,000–$1,000,000",Robert Half International,WATCH — 90+ Days,470,Monitor
PROC-02225,Highways England (National Highways),Debris Removal & Waste Hauling Services — Highways England (National Highways),UK,2027-09-12,"$5,000,000–$10,000,000",Regional Service Provider,WATCH — 90+ Days,470,Monitor
PROC-02644,AusTender — Australian Government Procurement,Facilities Maintenance & Repair Services — AusTender,AU,2027-09-12,"$25,000–$75,000",Adecco Group,CRITICAL — Bid Now,470,Monitor
PROC-02423,City of Vallejo — Purchasing Division,Food Services & Catering Contract — City of Vallejo,US,2027-09-13,"$25,000–$75,000",Cintas Corporation,MEDIUM — 60-Day Pipeline,471,Monitor
PROC-00207,Crown Commercial Service (CCS),Environmental Compliance & Remediation Services — Crown Commercial Service (CCS),UK,2027-09-14,"$1,000,000–$2,500,000",Xerox Corporation,MEDIUM — 60-Day Pipeline,472,Monitor
PROC-01813,Transport for NSW,Facilities Maintenance & Repair Services — Transport for NSW,AU,2027-09-14,"$25,000–$75,000",G4S Secure Solutions,CRITICAL — Bid Now,472,Monitor
PROC-01899,San Francisco Municipal Transportation Agency (SFMTA),Professional Consulting Services — San Francisco Municipal Transportation Agency (SFMTA),US,2027-09-14,"$25,000,000+",Waste Management Inc.,MEDIUM — 60-Day Pipeline,472,Monitor
PROC-01944,University of California System (UC),Temporary Staffing & Workforce Solutions — University of California System (UC),US,2027-09-14,"$500,000–$1,000,000",CACI International,HIGH — Prepare in 30 Days,472,Monitor
PROC-02695,San Francisco Municipal Transportation Agency (SFMTA),Custodial Services Contract — San Francisco Municipal Transportation Agency (SFMTA),US,2027-09-14,"$150,000–$300,000",Jan-Pro Franchising International,MEDIUM — 60-Day Pipeline,472,Monitor
PROC-00125,Department of Defense (DoD) — DIBBS,Construction & Facility Renovation Services — Department of Defense (DoD),US,2027-09-15,"$5,000,000–$10,000,000",Booz Allen Hamilton,CRITICAL — Bid Now,473,Monitor
PROC-01360,Denver Public Schools — Procurement,Environmental Compliance & Remediation Services — Denver Public Schools,US,2027-09-15,"$150,000–$300,000",Xerox Corporation,WATCH — 90+ Days,473,Monitor
PROC-01590,US Postal Service (USPS) — Procurement,IT Infrastructure & Managed Services Contract — US Postal Service (USPS),US,2027-09-15,"$5,000,000–$10,000,000",Sodexo USA,HIGH — Prepare in 30 Days,473,Monitor
PROC-01761,City of Melbourne — Procurement,Pest Control & Sanitation Services — City of Melbourne,AU,2027-09-15,"$1,000,000–$2,500,000",Adecco Group,HIGH — Prepare in 30 Days,473,Monitor
PROC-02159,City of Chicago — Department of Procurement Services,Environmental Compliance & Remediation Services — City of Chicago,US,2027-09-15,"$25,000,000+",Manpower Group,CRITICAL — Bid Now,473,Monitor
PROC-02923,Los Angeles Unified School District (LAUSD),Temporary Staffing & Workforce Solutions — Los Angeles Unified School District (LAUSD),US,2027-09-15,"$1,000,000–$2,500,000",Cintas Corporation,WATCH — 90+ Days,473,Monitor
PROC-00265,London Borough of Southwark — Procurement,Debris Removal & Waste Hauling Services — London Borough of Southwark,UK,2027-09-16,"$75,000–$150,000",Jan-Pro Franchising International,WATCH — 90+ Days,474,Monitor
PROC-00288,US Army Corps of Engineers,Environmental Compliance & Remediation Services — US Army Corps of Engineers,US,2027-09-16,"$2,500,000–$5,000,000",Robert Half International,HIGH — Prepare in 30 Days,474,Monitor
PROC-00295,General Services Administration (GSA),Uniformed Security Guard Services — General Services Administration (GSA),US,2027-09-16,"$300,000–$500,000",ABM Industries Inc.,MEDIUM — 60-Day Pipeline,474,Monitor
PROC-01759,Port of Oakland,Grounds Maintenance & Landscaping Services — Port of Oakland,US,2027-09-16,"$5,000,000–$10,000,000",Waste Management Inc.,MEDIUM — 60-Day Pipeline,474,Monitor
PROC-01809,City of Melbourne — Procurement,IT Infrastructure & Managed Services Contract — City of Melbourne,AU,2027-09-16,"$150,000–$300,000",Fluor Corporation,HIGH — Prepare in 30 Days,474,Monitor
PROC-02689,Department of Energy (DOE),Transportation & Logistics Services — Department of Energy (DOE),US,2027-09-16,"$300,000–$500,000",Local Independent Vendor,CRITICAL — Bid Now,474,Monitor
PROC-01123,Victorian Government — Tenders VIC,Debris Removal & Waste Hauling Services — Victorian Government,AU,2027-09-17,"$2,500,000–$5,000,000",Xerox Corporation,CRITICAL — Bid Now,475,Monitor
PROC-01363,Province of British Columbia — BC Bid,Debris Removal & Waste Hauling Services — Province of British Columbia,CA,2027-09-17,"$75,000–$150,000",Jan-Pro Franchising International,HIGH — Prepare in 30 Days,475,Monitor
PROC-01646,City of Phoenix — Procurement Division,Fleet Maintenance & Vehicle Repair Services — City of Phoenix,US,2027-09-17,"$25,000–$75,000",Securitas Security Services USA,CRITICAL — Bid Now,475,Monitor
PROC-02301,Port of Los Angeles,Grounds Maintenance & Landscaping Services — Port of Los Angeles,US,2027-09-17,"$300,000–$500,000",Stericycle Inc.,HIGH — Prepare in 30 Days,475,Monitor
PROC-01667,Province of Ontario — Ontario Shared Services,Temporary Staffing & Workforce Solutions — Province of Ontario,CA,2027-09-19,"$75,000–$150,000",Securitas Security Services USA,CRITICAL — Bid Now,477,Monitor
PROC-01894,City of Benicia — Finance Department,Environmental Compliance & Remediation Services — City of Benicia,US,2027-09-19,"$500,000–$1,000,000",Waste Management Inc.,MEDIUM — 60-Day Pipeline,477,Monitor
PROC-02029,City of Phoenix — Procurement Division,Food Services & Catering Contract — City of Phoenix,US,2027-09-19,"$1,000,000–$2,500,000",Parsons Corporation,MEDIUM — 60-Day Pipeline,477,Monitor
